City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
‘Āhuimanu,21.4447,-157.8378,78.3,66,75,8.05,US,1622744127
‘Ewa Beach,21.3156,-158.0072,79.95,62,75,8.99,US,1622744161
Abu Dhabi,24.4667,54.3667,89.62,89,0,5.35,AE,1622744169
Acaraú,-2.8856,-40.12,85.26,62,2,16.93,BR,1622744229
Adré,13.4667,22.2,86.68,31,42,10.38,TD,1622744176
Adrar,20.5022,-10.0711,105.31,12,87,13.89,MR,1622744271
Airai,-8.9266,125.4092,58.24,92,47,2.73,TL,1622744263
Aklavik,68.2191,-135.0107,42.8,81,90,4.61,CA,1622744239
Aksu,41.1231,80.2644,76.19,31,82,7.81,CN,1622744261
Albany,42.6001,-73.9662,71.37,74,99,3,US,1622744092
Albufeira,37.0882,-8.2503,73.24,43,21,20.13,PT,1622744175
Alcúdia,39.8532,3.1214,79.02,80,33,12.91,ES,1622744243
Alexandria,31.2156,29.9553,71.44,62,5,13.38,EG,1622744085
Alice Springs,-23.7,133.8833,51.35,71,97,9.6,AU,1622743980
Alihe,50.5667,123.7167,49.03,97,100,6.11,CN,1622744203
Alofi,-19.0595,-169.9187,73.29,94,93,4.61,NU,1622744156
Alta Floresta,-9.8756,-56.0861,93.02,38,40,8.05,BR,1622744134
Alugan,12.2188,125.4808,79.45,84,100,2.89,PH,1622744090
Alyangula,-13.8483,136.4192,66.07,100,61,7.27,AU,1622744184
Amangarh,34.0058,71.93,84.81,41,1,12.33,PK,1622744145
Amazar,53.858,120.875,46.76,94,24,5.91,RU,1622744276
Ambulu,-8.345,113.6058,75.07,90,85,3.02,ID,1622744107
Anáhuac,27.2333,-100.15,85.5,48,83,8.28,MX,1622744241
Ancud,-41.8697,-73.8203,51.55,87,100,13.8,CL,1622744122
Angostura,25.3667,-108.1833,94.96,27,19,7.7,MX,1622744157
Ankazoabo,-22.2833,44.5167,65.41,80,89,4.03,MG,1622744262
Aranos,-24.1333,19.1167,54.05,49,0,10.29,NA,1622744161
Ardeşen,41.1911,40.9875,64.36,74,18,3.36,TR,1622744207
Ariogala,55.2667,23.4667,67.91,80,29,4.94,LT,1622744255
Örnsköldsvik,63.2909,18.7153,68.95,40,0,4.32,SE,1622744127
Arraial do Cabo,-22.9661,-42.0278,82.26,54,0,8.05,BR,1622744118
Arrondissement de Saint-Denis,48.9167,2.3333,73.04,81,75,1.99,FR,1622744200
Arteaga,18.4667,-102.4167,80.51,47,74,5.84,MX,1622744256
Asău,46.4333,26.4,56.32,87,100,4.47,RO,1622744166
Ascension,30.2169,-90.9001,85.32,72,40,4.61,US,1622744266
Assiniboia,49.6334,-105.9845,87.62,13,10,6.06,CA,1622744120
Aswān,24.0934,32.907,92.68,9,4,16.04,EG,1622744116
Atuona,-9.8,-139.0333,78.93,82,51,18.84,PF,1622744119
Auki,-8.7676,160.7034,76.91,88,100,4.14,SB,1622744129
Avarua,-21.2078,-159.775,73.45,88,75,5.75,CK,1622744086
Aykhal,66,111.5,52.75,59,100,11.43,RU,1622744116
Bābra,21.85,71.3,86.97,57,2,14.23,IN,1622744159
Bārmer,25.75,71.3833,90.97,45,0,14.52,IN,1622744221
Babu,24.4167,111.5167,65.39,98,100,8.05,CN,1622744167
Bac Lieu,9.285,105.7244,82.98,80,70,7.7,VN,1622744170
Bagadó,5.4116,-76.4152,85.17,76,76,2.51,CO,1622744165
Balashov,51.5502,43.1667,54.9,80,100,8.84,RU,1622744209
Balyqshy,47.0667,51.8667,71.6,60,0,13.42,KZ,1622744112
Bam,29.106,58.357,97.43,6,1,6.44,IR,1622744282
Bambous Virieux,-20.3428,57.7575,75.45,73,40,17.72,MU,1622744089
Bandarbeyla,9.4942,50.8122,79.9,84,82,17.74,SO,1622744255
Baoqing,46.3317,132.2111,52.54,95,100,7.85,CN,1622744152
Barabai,-2.5833,115.3833,73.63,85,18,2.75,ID,1622744265
Barcelos,41.5388,-8.6151,64.18,58,10,15.48,PT,1622744117
Barrow,71.2906,-156.7887,30.22,80,90,17.27,US,1622744108
Baruun-Urt,46.6806,113.2792,45.63,80,72,11.12,MN,1622744177
Basoko,1.2391,23.616,73.06,92,100,4.99,CD,1622743808
Batagay-Alyta,67.8006,130.4114,56.66,63,99,4.81,RU,1622744211
Bathsheba,13.2167,-59.5167,86.61,54,40,17.76,BB,1622744105
Baykit,61.67,96.37,44.33,84,100,4,RU,1622744244
Beamsville,43.1668,-79.4829,64.89,95,99,1.14,CA,1622744218
Beşikdüzü,41.052,39.2284,62.49,81,42,7.05,TR,1622744287
Beira,-19.8436,34.8389,73.49,73,40,5.75,MZ,1622744225
Belmonte,-15.8631,-38.8828,82.9,67,14,9.08,BR,1622744205
Beloha,-25.1667,45.05,68.99,90,100,4.85,MG,1622744239
Belyy Yar,53.6039,91.3903,64.29,77,0,6.51,RU,1622744126
Bengkulu,-3.8004,102.2655,79.34,85,97,3.22,ID,1622744140
Bereda,43.2686,-7.5406,57.6,70,67,6.31,ES,1622744198
Beringovskiy,63.05,179.3167,33.76,83,83,3.98,RU,1622743935
Berlevåg,70.8578,29.0864,66.15,39,0,13.8,NO,1622744126
Bethel,41.3712,-73.414,65.89,89,90,5.75,US,1622744071
Biak,-0.9131,122.8766,76.82,85,96,5.95,ID,1622744146
Biankouma,7.7391,-7.6138,76.03,82,100,3.47,CI,1622744292
Bilibino,68.0546,166.4372,49.5,40,31,2.01,RU,1622744238
Bilma,18.6853,12.9164,101.89,9,86,10.78,NE,1622744156
Bintulu,3.1667,113.0333,82.81,94,40,0,MY,1622744150
Birao,10.2849,22.7882,82.42,53,89,6.78,CF,1622744269
Blackwater,-23.5833,148.8833,61.16,84,98,5.53,AU,1622744281
Bluff,-46.6,168.3333,49.8,83,92,11.52,NZ,1622744099
Boa Vista,2.8197,-60.6733,75.18,88,90,5.75,BR,1622744218
Boende,-0.2167,20.8667,75.27,78,66,1.59,CD,1622744277
Bojonegoro,-7.1502,111.8817,75.56,92,89,5.26,ID,1622743897
Bonavista,48.6499,-53.1147,77,66,18,12.73,CA,1622744148
Bonthe,7.5264,-12.505,83.32,76,86,6.82,SL,1622744163
Bosobolo,4.1833,19.9,79.3,65,90,0.89,CD,1622744158
Bowen,-20.0167,148.2333,62.82,92,12,4.9,AU,1622744211
Bredasdorp,-34.5322,20.0403,56.52,77,17,7.54,ZA,1622744113
